Hari,Jam,Mata Kuliah,Semester,SKS,Dosen,Ruang,Kelas,Kapasitas Kelas
Senin,15:30:00 - 16:20:00,Basis Data,3,4,BRILYAN HENDRASURYAWAN,R008,B,45
Senin,09:20:00 - 10:10:00,Teori Game,5,3,NUGHTHOH ARFAWI KURDHI,R008,B,45
Senin,10:15:00 - 11:05:00,Teori Game,5,3,NUGHTHOH ARFAWI KURDHI,R008,B,45
Senin,11:10:00 - 12:00:00,Teori Game,5,3,NUGHTHOH ARFAWI KURDHI,R008,B,45
Senin,07:30:00 - 08:20:00,Kewirausahaan,7,2,AKHMAD SYAIFUDDIN,R008,A,45
Senin,08:25:00 - 09:15:00,Kewirausahaan,7,2,AKHMAD SYAIFUDDIN,R008,A,45
Senin,13:00:00 - 13:50:00,Etika Profesi,7,2,HARYONO SETIADI,R008,A,45
Senin,13:55:00 - 14:45:00,Etika Profesi,7,2,HARYONO SETIADI,R008,A,45
Senin,07:30:00 - 08:20:00,Matematika Dasar,1,3,RISTU SAPTONO,R009,B,30
Senin,08:25:00 - 09:15:00,Matematika Dasar,1,3,RISTU SAPTONO,R009,B,30
Senin,09:20:00 - 10:10:00,Matematika Dasar,1,3,RISTU SAPTONO,R009,B,30
Senin,10:15:00 - 11:05:00,Pemodelan dan Simulasi,3,3,SHAIFUDIN ZUHDI,R009,A,30
Senin,11:10:00 - 12:00:00,Pemodelan dan Simulasi,3,3,SHAIFUDIN ZUHDI,R009,A,30
Senin,13:00:00 - 13:50:00,Pemodelan dan Simulasi,3,3,SHAIFUDIN ZUHDI,R009,A,30
Senin,13:55:00 - 14:45:00,Pemodelan dan Simulasi,3,3,SHAIFUDIN ZUHDI,R009,B,30
Senin,15:30:00 - 16:20:00,Pemodelan dan Simulasi,3,3,SHAIFUDIN ZUHDI,R009,B,30
Senin,16:25:00 - 17:15:00,Pemodelan dan Simulasi,3,3,SHAIFUDIN ZUHDI,R009,B,30
Senin,07:30:00 - 08:20:00,Statistika Sains Data,1,3,GETUT PRAMESTI,R010,A,30
Senin,08:25:00 - 09:15:00,Statistika Sains Data,1,3,GETUT PRAMESTI,R010,A,30
