Hari,Mata Kuliah,Semester,SKS,Dosen,Ruang,Kelas,Kapasitas Kelas,start,finish,duration,jumlah_mahasiswa,profit_density
Senin,Konsep Pemrograman,1,4,AFRIZAL DOEWES,R007,D,20,08:25:00,09:15:00,50.0,16,0.08
Senin,Konsep Pemrograman,1,4,AFRIZAL DOEWES,R007,D,20,09:20:00,10:10:00,50.0,19,0.08
Senin,Interaksi Manusia & Komputer ( Team Teaching ),5,2,ERY PERMANA YUDHA + RINI ANGGRAININGSIH,R007,A,20,10:15:00,11:05:00,50.0,9,0.04
Senin,Interaksi Manusia & Komputer ( Team Teaching ),5,2,ERY PERMANA YUDHA + RINI ANGGRAININGSIH,R007,A,20,11:10:00,12:00:00,50.0,17,0.04
Senin,Data Mining,5,3,WIRANTO,R007,A,20,13:00:00,13:50:00,50.0,16,0.06
Senin,Data Mining,5,3,WIRANTO,R007,A,20,13:55:00,14:45:00,50.0,17,0.06
Senin,Data Mining,5,3,WIRANTO,R007,A,20,15:30:00,16:20:00,50.0,12,0.06
Senin,Basis Data,3,4,BRILYAN HENDRASURYAWAN,R008,B,45,15:30:00,16:20:00,50.0,19,0.08
Senin,Teori Game,5,3,NUGHTHOH ARFAWI KURDHI,R008,B,45,09:20:00,10:10:00,50.0,37,0.06
Senin,Teori Game,5,3,NUGHTHOH ARFAWI KURDHI,R008,B,45,10:15:00,11:05:00,50.0,45,0.06
Senin,Teori Game,5,3,NUGHTHOH ARFAWI KURDHI,R008,B,45,11:10:00,12:00:00,50.0,32,0.06
Senin,Kewirausahaan,7,2,AKHMAD SYAIFUDDIN,R008,A,45,07:30:00,08:20:00,50.0,45,0.04
Senin,Kewirausahaan,7,2,AKHMAD SYAIFUDDIN,R008,A,45,08:25:00,09:15:00,50.0,24,0.04
Senin,Etika Profesi,7,2,HARYONO SETIADI,R008,A,45,13:00:00,13:50:00,50.0,29,0.04
Senin,Etika Profesi,7,2,HARYONO SETIADI,R008,A,45,13:55:00,14:45:00,50.0,25,0.04
Senin,Matematika Dasar,1,3,RISTU SAPTONO,R009,B,30,07:30:00,08:20:00,50.0,26,0.06
Senin,Matematika Dasar,1,3,RISTU SAPTONO,R009,B,30,08:25:00,09:15:00,50.0,14,0.06
Senin,Matematika Dasar,1,3,RISTU SAPTONO,R009,B,30,09:20:00,10:10:00,50.0,25,0.06
Senin,Pemodelan dan Simulasi,3,3,SHAIFUDIN ZUHDI,R009,A,30,10:15:00,11:05:00,50.0,28,0.06
Senin,Pemodelan dan Simulasi,3,3,SHAIFUDIN ZUHDI,R009,A,30,11:10:00,12:00:00,50.0,15,0.06
